date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:33	154267/154267	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2015:20:33%20GMT	https://victorthemes.com/themes/seese/	D:/Project_FontEnd_1/victorthemes.com/themes/seese/index.html	(from )
22:20:33	101/101	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Mar%202024%2015:20:34%20GMT	https://victorthemes.com/robots.txt		(from )
22:20:34	164/164	---M--	200	added ('OK')	image/webp	date:Sun,%2025%20Feb%202024%2022:31:34%20GMT	https://victorthemes.com/themes/seese/wp-content/themes/seese/assets/images/favicon.png	D:/Project_FontEnd_1/victorthemes.com/themes/seese/wp-content/themes/seese/assets/images/favicon.png	(from https://victorthemes.com/themes/seese/)
22:20:35	146/146	---M--	403	error ('Forbidden')	text/html	date:Fri,%2001%20Mar%202024%2015:20:35%20GMT	https://victorthemes.com/themes/seese/xmlrpc.php	D:/Project_FontEnd_1/victorthemes.com/themes/seese/xmlrpc.1.delayed	(from https://victorthemes.com/themes/seese/)
22:20:35	110147/110147	---MCZ	200	added ('OK')	text/css	etag:W/%2265ba4d1b-1ae43%22	https://victorthemes.com/themes/seese/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	D:/Project_FontEnd_1/victorthemes.com/themes/seese/wp-includes/css/dist/block-library/style.min84fc.css	(from https://victorthemes.com/themes/seese/)
22:20:36	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%2265c071a8-b4e%22	https://victorthemes.com/themes/seese/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.7	D:/Project_FontEnd_1/victorthemes.com/themes/seese/wp-content/plugins/contact-form-7/includes/css/styles38d6.css	(from https://victorthemes.com/themes/seese/)
22:20:36	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%2265d4e127-1b83%22	https://victorthemes.com/themes/seese/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.6.1	D:/Project_FontEnd_1/victorthemes.com/themes/seese/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9b80.css	(from https://victorthemes.com/themes/seese/)
22:20:36	374/374	---MCZ	200	added ('OK')	text/css	etag:W/%2264568e92-176%22	https://victorthemes.com/themes/seese/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	D:/Project_FontEnd_1/victorthemes.com/themes/seese/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from https://victorthemes.com/themes/seese/)
22:20:37	29067/29067	---MCZ	200	added ('OK')	text/css	etag:W/%2265b8aa9f-718b%22	https://victorthemes.com/themes/seese/wp-content/themes/seese/inc/theme-options/cs-framework/assets/css/font-awesome.min.css?ver=6.4.3	D:/Project_FontEnd_1/victorthemes.com/themes/seese/wp-content/themes/seese/inc/theme-options/cs-framework/assets/css/font-awesome.min84fc.css	(from https://victorthemes.com/themes/seese/)
22:20:37	33800/33800	---MCZ	200	added ('OK')	application/rss+xml	etag:%229e79954095752250ce95d9120592acff%22	https://victorthemes.com/themes/seese/feed/	D:/Project_FontEnd_1/victorthemes.com/themes/seese/feed/index.html	(from https://victorthemes.com/themes/seese/)
