date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:34	161522/161522	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2014:44:34%20GMT	https://chaai.qodeinteractive.com/	D:/Project_FontEnd/chaai.qodeinteractive.com/index.html	(from )
21:44:35	127/127	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Feb%202024%2014:44:35%20GMT	https://chaai.qodeinteractive.com/robots.txt		(from )
21:44:36	16823/16823	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Oct%202021%2011:35:01%20GMT	https://chaai.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=2.9.3.1	D:/Project_FontEnd/chaai.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.minbf9e.css	(from https://chaai.qodeinteractive.com/)
21:44:36	9130/9130	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Aug%202021%2012:48:15%20GMT	https://chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/dripicons/assets/css/dripicons.min.css?ver=6.4.3	D:/Project_FontEnd/chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/dripicons/assets/css/dripicons.min84fc.css	(from https://chaai.qodeinteractive.com/)
21:44:36	22518/22518	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Aug%202021%2012:48:15%20GMT	https://chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=6.4.3	D:/Project_FontEnd/chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/elegant-icons/assets/css/elegant-icons.min84fc.css	(from https://chaai.qodeinteractive.com/)
21:44:37	59344/59344	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Aug%202021%2012:48:15%20GMT	https://chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/font-awesome/assets/css/all.min.css?ver=6.4.3	D:/Project_FontEnd/chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/font-awesome/assets/css/all.min84fc.css	(from https://chaai.qodeinteractive.com/)
21:44:37	9166/9166	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222f661d52c419562e69fbb58f1f12efbf%22	https://chaai.qodeinteractive.com/comments/feed/	D:/Project_FontEnd/chaai.qodeinteractive.com/comments/feed/index.html	(from https://chaai.qodeinteractive.com/)
21:44:37	99765/99765	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222f661d52c419562e69fbb58f1f12efbf%22	https://chaai.qodeinteractive.com/feed/	D:/Project_FontEnd/chaai.qodeinteractive.com/feed/index.html	(from https://chaai.qodeinteractive.com/)
21:44:37	27340/27340	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Aug%202021%2012:48:15%20GMT	https://chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/fontkiko/assets/css/kiko-all.min.css?ver=6.4.3	D:/Project_FontEnd/chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/fontkiko/assets/css/kiko-all.min84fc.css	(from https://chaai.qodeinteractive.com/)
21:44:38	45219/45219	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Aug%202021%2012:48:15%20GMT	https://chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/ionicons/assets/css/ionicons.min.css?ver=6.4.3	D:/Project_FontEnd/chaai.qodeinteractive.com/wp-content/plugins/chaai-core/inc/icons/ionicons/assets/css/ionicons.min84fc.css	(from https://chaai.qodeinteractive.com/)
